name,combined_description
Менеджер по отраслевым решениям для клиентов малого бизнеса,"Опыт работы с клиентами банка от 1 года. Опыт продаж, презентаций и проведения переговоров на уровне первых лиц компании. 

Продавать банковские продукты и услуги корпоративным клиентам малого бизнеса ( с годовой выручкой до 500 млн.). Звонить потенциальным клиентам и назначать..."
Менеджер по работе с юридическими лицами (бизнес-советник),"Опыт работы с физическими/юридическими лицами, банковский опыт. Опыт в продажах. Коммуникабельность.

Персонально сопровождать и развивать отношения с действующим портфелем корпоративных клиентов с годовой выручкой от 20 до 500 миллионов рублей. "
"Специалист дистанционного контакт-центра в чате, г. Калининград","Общительные и вежливые люди, которые любят помогать другим. Образование не имеет значения — важно только желание развиваться вместе с банком. 

Принимать входящие обращения от клиентов в чате. Находить решения вопросов и помогать проводить банковские операции. Рассказывать клиентам о преимуществах банка..."
Главный экономист по кредитованию,"Опыт проведения финансового анализа строительных компаний обязателен. Приветствуется опыт работы с клиентами строительной отрасли, кредитования строительных проектов, реализации сделок проектного...

Рассмотрением заявок по финансированию строительства жилой и коммерческой недвижимости (кредитование средних корпоративных клиентов строительной отрасли). Структурированием сделок, подготовка предложений по..."
Дата-инженер,"Опыт работы с SQL / Impala (написание сложных запросов, оптимизация). Опыт работы с Hadoop / Spark (работа с большими объёмами данных). 

Сбор выборок, целевых переменных (таргетов) и признаков из распределённых хранилищ данных. Формирование и проверка SAMPLE, TARGET, FEATURES-наборов. "
Начальник отдела,"Высшее образование. Опыт работы в бизнес‑линии ММБ/МСБ. Опыт работы на позиции начальника отдела от 1 года. 

Организовывать плановую и стабильную результативность каждого сотрудника и отдела в целом согласно установленным целям. Обеспечивать системное выполнение управленческих активностей в..."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной или пешей работе. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Специалист функционального сопровождения ЦБС,"Техническое образование (информационные технологии/математика). Знания основ бухгалтерского учета. Опыт сопровождения банковских продуктов. Знания и опыт работы с реляционными БД. 

Функциональное сопровождение центральной банковской системы. Контроль/мониторинг работы фоновых и периодических процедур. Проверка корректности выполненных расчетов. Развитие мониторингов (в т..."
Руководитель стратегических программ,"Не менее 5 лет в роли руководителя проектов и программ в ИТ-компаниях. -Опыт реализации проектов и программ импортозамещения ЗОКИИ...

Контроль реализации стратегических проектов и программ импортозамещения ЗОКИИ (значимых объектов критической инфраструктуры). -Общение с Центральным Банком России и участие в..."
Ассистент руководителя департамента,"Опыт работы ассистентом/помощником. Знание техники, английского языка, делового документооборота. Умение организовывать встречи, вести календари, организационно поддерживать работу руководителя и...

Организационная поддержка руководителя и 20 сотрудников. Организация командировок, встреч, звонков и пр.. Заказ канцелярии и др.. Техническая помощь с проектами..."
Менеджер по прямым продажам,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
"Менеджер (ул. Ленина, 299)","Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность. Желание развиваться в продажах.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам ( 2-3 встреч в день). Проводить презентации банковских продуктов для физических..."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам ( 2-3 встреч в день). Проводить презентации банковских продуктов для физических..."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам ( 2-3 встреч в день). Проводить презентации банковских продуктов для физических..."
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам ( 2-3 встреч в день). Проводить презентации банковских продуктов для физических..."
Универсальный менеджер,"Образование не ниже среднего специального. Знание приложений MS Office, уверенный пользователь ПК. Навыки коммуникации и ведения переговоров.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
Мобильный банкир (доставка банковских продуктов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам (юридическим лицам) банковские продукты. Подписывать документы с клиентами. Доставлять торговые терминалы. Консультировать клиентов по выгодным предложениям и продуктам..."
Мобильный банкир (доставка банковских продуктов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам (юридическим лицам) банковские продукты. Подписывать документы с клиентами. Доставлять торговые терминалы. Консультировать клиентов по выгодным предложениям и продуктам..."
Альфа-Агент,"Готовность проводить встречи вне офиса банка. Желание общаться с людьми, развивать навыки переговоров, становиться лучшим и зарабатывать. Можно без опыта...

Внутренние конкурсы, тимбилдинги, спортивные сообщества и комьюнити по интересам. Договариваться о встречах и выезжать на территорию к клиентам (1-2..."
Бизнес-аналитик,"Опыт работы Product Owner или БА 3-5 лет. Опыт развития и\или внедрения CRM. Опыт работы в Антифрод структурах. 

Ведение бэклога развития продукта. Написание бизнес требований и бизнес процесса по развитию продукта. Взаимодействие с ИТ по реализации задач. "
Эксперт направления финансового планирования и анализа,"Образование: высшее. Специальность: экономика. Профессиональные знания и навыки: знание методов финансово-экономического анализа. Управленческого и бухгалтерского учета Банка, регуляторных требований...

Строить планы и прогнозы по клиентской базе и безрисковым продуктам. Формировать и актуализировать финансовые модели. Формировать управленческую отчетность для бизнеса. "
Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
Middle системный аналитик (проект Тарификация физических лиц),"Высшее техническое образование (желательно в ИТ, финансовое будет плюсом). — Опыт работы в автоматизации ИТ‑процессов и/или в банковской сфере...

Сбор, формализация, анализ, согласование требований на разработку ПО как с бизнесом, так и с ИТ. — Подготовка концепции реализации. — "
Менеджер по развитию отношений с корпоративными клиентами (зарплатное направление),"Опыт продаж банковских продуктов. Опыт работы с зарплатными компаниями. Опыт общения с ЛПР.

Сопровождение и развитие закрепленного портфеля СКБ (зарплатные проекты). Проведение встреч c руководителями компаний, работа на удержание ключевых клиентов. "
Менеджер клиентских продаж (Альфа-Агент),"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию предприятий и организаций (2-3 встречи в день). Проводить презентации банковских продуктов для..."
Мобильный банкир (без поиска клиентов),"Ответственность и пунктуальность. Готовность к работе в выездном формате. Коммуникабельность и вежливость. Желание работать и зарабатывать. График работы: Выходные: суббота...

Доставка банковских карт клиентам по указанным адресам. Обеспечение сохранности и своевременной передачи карт. Ведение отчетности по выполненным доставкам. "
Менеджер в банк,"Коммуникабельность. Желание развиваться в продажах.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
Специалист по выездному взысканию,"Образование не ниже средне специального. Владение ПК на уровне пользователя. Опыт работы в банке во взыскании обязателен (досудебное погашение задолженности...

Работать с портфелем проблемной задолженности Банка. Проводить телефонные переговоры и личные встречи с должниками для добровольного погашения задолженности. "
Начальник отдела,"Высшее экономическое, техническое или математическое образование. Опыт работы не менее 2 лет в финансовом или бизнес-аналитическом подразделении банка (предпочтительно...

Руководство отделом общей аналитики, организация и оптимизация. Формирование концепции развития аналитики и данных, исследования - поиск инсайтов. Взаимодействие с другими подразделениями..."
Бизнес - советник,"Высшее образование. Опыт работы в банке не менее полутора лет. Умение проводить переговоры на уровне первых лиц компании. 

Переводить корпоративных клиентов из статуса «потенциальных» в «действующих»: знакомиться с первыми лицами компаний, приходить к ним в офисы для переговоров..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Наличие собственного ПК является преимуществом. Наличие смартфона с ОС Android. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Консультировать клиентов по выгодным предложениям и продуктам банка, помогать им подключить дополнительные..."
Главный менеджер по продажам (средний бизнес),"Опыт привлечения и развития корпоративных клиентов (ММБ или СКБ) от 3ех лет. Навык ведения переговоров с первыми лицами компаний. 

Повышать прибыль банка за счет привлечения клиентов среднего и крупного корпоративного бизнеса. Развивать портфель текущих клиентов (объем выручки 500 млн..."
Менеджер прямых продаж,"Получили высшее образование или близки к этому.

Привлекать клиентов малого бизнеса на закреплённой территории. Проводить деловые встречи с первыми лицам компаний. Звонить и назначать встречи потенциальным клиентам. "
Главный бизнес советник,"Высшее образование. Опыт работы в банке не менее полутора лет. Умение проводить переговоры на уровне первых лиц компании. 

Заботиться об удовлетворённости действующих корп. клиентов с годовой выручкой от 20 до 500 миллионов руб.: подбирать полезные продукты, помогать решать..."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
"Начинающий специалист (микрорайон Зелёный Бор-1, 4А)","Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию предприятий и организаций (2-3 встречи в день). Проводить презентации банковских продуктов для..."
"Альфа-Агент (Сысерть, ул. Коммуны, 41)","Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Консультировать по банковским продуктам и подбирать оптимальные продукты для клиентов (ФЛ и ЮЛ) в отделении банка. Договариваться о встречах и..."
Мобильный банкир,"Готовность к разъездной работе. - Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. - Наличие смартфона с ОС Android или...

Доставлять клиентам банковские продукты. - Подписывать документы с клиентами. - Доставлять торговые терминалы. - Консультировать клиентов по выгодным предложениям и продуктам банка, помогать..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Выездной Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Менеджер по обслуживанию бизнеса,"Высшее образование. Опыт работы с юридическими лицами в банковской сфере. Опыт продаж. Желание развиваться в банковской сфере.

Консультировать действующих клиентов — юридических лиц. Продавать банковские продукты (входящие звонки): РКО, кредитование, зарплатный проект, терминал торгового эквайринга и др. "
AppSec Business Partner/BP,"Высшее образование со специализацией в области ИТ или ИБ. -Опыт работы в области практического анализа защищенности и анализа архитектурной документации...

Участвовать в проработке задач на всех этапах жизненного цикла проекта от предпроектных исследований, до внедрения и контроля выполнения необходимых задач..."
Руководитель проектов по повышению эффективности розничных продаж,"Оконченное высшее образование. Опыт работы в банковском секторе или телекоме. Опыт работы с каналами продаж с позиции бизнес заказчика. 

Модерировать взаимодействие каналов Доставка, Телемаркетинг, Контакт центр и CRM с Клиентскимипутями в рамках BAU процессов. Регулярно проводить анализ потенциальных точек..."
Бизнес-советник,"Высшее образование. Опыт работы в банке не менее года. Умение проводить переговоры на уровне первых лиц компании. Успешный опыт развития...

Заботиться об удовлетворённости действующих корп. клиентов: подбирать полезные продукты, помогать решать бизнес-задачи, поддерживать дружественные отношения, чтобы клиент оставался с..."
Менеджер по развитию бизнеса,"Опыт работы с физическими/юридическими лицами. Опыт в продажах. Коммуникабельность.

Персонально сопровождать и развивать отношения с действующим портфелем корпоративных клиентов с годовой выручкой от 20 до 500 миллионов рублей. "
Начальник отдела по развитию отношений с клиентами малого бизнеса,"Высшее образование. Успешный опыт работы на руководящей должности от 1 года. Высокая результативность. Навыки управления командой.

Построение эффективной команды по развитию клиентов малого бизнеса. Управление командой. Выстроенная система работы с воронками по каждому KPI. "
Начальник отдела привлечения клиентов малого бизнеса,"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы с клиентами от 2-х...

Организовывать процесс продаж банковских продуктов и услуг малому бизнесу. Обеспечивать выполнение ключевых показателей отдела (рко, эквайринг, зпп, кредитование). "
Начальник отдела привлечения клиентов малого бизнеса (г. Люберцы),"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы с клиентами от 2 лет...

Организовывать процесс продаж банковских продуктов и услуг малому бизнесу на основе потребностей клиентов. Обеспечивать выполнение ключевых показателей отдела (рко, эквайринг..."
Старший ИТ-аудитор,"Опыт в ИТ-аудите, кибербезопасности или Application Security. Знание стандартов и фреймворков: ISO 27001/27002, NIST, COBIT, ISO 20000. 

Проводить комплексные аудиты ИТ-систем, процессов и ИТ\ИБ-контролей. Оценивать зрелость процессов ИТ и ИБ, в том числе соответствие..."
Портфельный риск-менеджер,"Высшее образование в области экономики, финансов, математики, статистики или смежных дисциплин. Опыт работы портфельным менеджером от 1 года /аналитиком в...

Мониторинг и анализ качества выдач, существующих портфельных трендов, контроль доходности по кредитному портфелю малого и среднего бизнеса. Формирование предложений по..."
Менеджер прямых продаж (малый бизнес),"Высшее или неполное высшее образование. Опыт работы в продажах от 6 месяцев. Готовность к разъездной работе (транспортные расходы компенсируются). 

Привлекать клиентов малого бизнеса на закреплённой территории. Звонить и назначать встречи потенциальным клиентам. Проводить деловые встречи с первыми лицам компаний. "
"Мобильный банкир, Краснознаменск","Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без холодного поиска),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
QA Fullstack (ручное и автоматизированное C#),"Опыт ручного тестирования 1-2 года. Опыт автоматизации тестирования на C# от 6 месяцев минимум. Опыт тестирования API. 

Проведение ручного тестирования веб-приложения. Написание автотестов с использованием SpecFlow (С#). Подготовка методики или плана тестирования функционала на основе бизнес..."
Менеджер прямых продаж,"Получили высшее образование или близки к этому.

Привлекать клиентов малого бизнеса на закреплённой территории. Проводить деловые встречи с первыми лицам компаний. Звонить и назначать встречи потенциальным клиентам. "
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Операционный сервис-менеджер,"Образование не ниже среднего специального. Знание приложений MS Office, уверенный пользователь ПК. Навыки коммуникации и ведения переговоров. Желание работать с...

Встреча клиентов в отделении Банка. Первичная консультация клиентов по банковским продуктам и услугам. Помощь клиентам в банкоматной зоне. "
Старший Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
Главный эксперт по работе с партнерами и специальными проектами,"Профессиональное знание рекламного инвентаря. Минимум 3 года опыта в цифровых продажах, продвижении и управлении рекламными кампаниями финансовых продуктов. 

Масштабировать уже существующие партнёрские программы: увеличивать объёмы трафика, конверсии и доходов от текущих партнёров (агрегаторы, fintech‑платформы, маркетплейсы и пр.). "
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Главный специалист по автокредитованию (Рольф Лахта),"Среднее специальное образование или высшее. Знание рынка автокредитования. Уверенное пользование компьютером. Опыт продаж кредитных продуктов. Навыки активных продаж.

Работать с кредитными заявками от партнеров банка. Оформлять сделки и кредитные документы по продукту автокредитования. Продавать банковские продукты. "
Менеджер по работе с юридическими лицами в отделение банка,"Высшее или среднее специальное образование. Опыт работы с клиентами, в продажах и консультировании. Опыт в банке приветствуется.

Осуществлять обслуживание действующих клиентов — юридических лиц. Осуществлять продажу банковских продуктов и услуг —юридическим лицам."
Ведущий менеджер по привлечению зарплатных проектов,"Высшее образование. Опыт работы в сфере корпоративных продаж банковских продуктов. Опыт ведения переговоров с первыми лицами компаний и проведения презентаций. 

Привлекать организации на зарплатные проекты. Проводить встречи и переговоры с ЛПР. Выстраивать доверительные и долгосрочные отношения с клиентами. "
"Начинающий специалист (Ленина, 5)","Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территории предприятий (2-3 встречи в день). Проводить презентации банковских продуктов для физических лиц..."
Начинающий специалист,"Можно без опыта — мы всему научим. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Готовность к выездным встречам с...

Консультировать по банковским продуктам и подбирать оптимальные продукты для клиентов (ФЛ и ЮЛ) в отделении банка. Поддерживать высокий уровень клиентских..."
"Ведущий менеджер (г. Реж, ул. Ленина, 5)","Опыт работы с клиентами в розничной или финансовой сферах приветствуется. Опыт работы с продажами. Коммуникабельность. Клиентоориентированность.

Работать со счетами и картами клиентов в отделении банка. Продавать банковские и страховые продукты (кредитные продукты, карты, вклады). "
Менеджер по развитию отношений с партнерами,"Вас будут окружать заряженные люди, которые создают банкинг будущего и во всём помогут. Насыщенную корпоративную жизнь: спортивные сообщества (киберспорт, онлайн...

Переводим клиентов из статуса «потенциальных» в «действующих»: звоним потенциальным клиентам, подавшим заявку самостоятельно на сайте банка или через партнёров, знакомимся..."
Эксперт по привлечению клиентов малого бизнеса,"Получили высшее образование или близки к этому.

Переводим клиентов из статуса «потенциальных» в «действующих»: звоним потенциальным клиентам с годовой выручкой от 20 до 500 миллионов рублей, знакомимся..."
Бизнес советник,"Высшее образование. Опыт работы в банке не менее полутора лет. Умение проводить переговоры на уровне первых лиц компании. 

Подбирать полезные продукты, помогать решать бизнес-задачи, поддерживать дружественные отношения, чтобы клиент оставался с нами надолго. Переводить корпоративных клиентов из..."
Начальник отдела привлечения клиентов малого бизнеса,"Высшее образование. Развитые управленческие навыки. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы с клиентами от 2 лет...

Организовывать процесс продаж банковских продуктов и услуг малому бизнесу на основе потребностей клиентов. Обеспечивать выполнение ключевых показателей отдела (рко, эквайринг..."
